stock_code,stock_name,priority,theme,reason,research_date,status,max_position_pct,note
300476,胜宏科技,1,,,,active,,
600522,中天科技,1,,,,active,,
603256,宏和科技,1,,,,active,,
688017,绿的谐波,1,,,,active,,
688160,步科股份,1,,,,active,,
688818,电科蓝天,1,,,,active,,
300308,中际旭创,1,,,,active,,
300502,新易盛,1,,,,active,,
002463,沪电股份,1,,,,active,,
601689,拓普集团,1,,,,active,,
002428,云南锗业,1,,,,active,,
002335,科华数据,1,,,,active,,
002008,大族激光,1,,,,active,,
688041,海光信息,1,,,,active,,
603659,璞泰来,1,,,,active,,
300433,蓝思科技,1,,,,active,,
002837,英维克,1,,,,active,,
600879,航天电子,1,,,,active,,
605006,山东玻纤,1,,,,active,,
603920,世运电路,1,,,,active,,
001287,中电港,1,,,,active,,
600392,盛和资源,1,,,,active,,
300033,同花顺,1,,,,active,,
600111,北方稀土,1,,,,active,,
002031,巨轮智能,1,,,,active,,
002015,协鑫能科,1,,,,active,,
